route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
5154_114957,7778019,6,Howth Dart Stn - Lower Abbey Street,,3,,,
5154_114958,7778019,11B,Phoenix Park - Donnybrook,,3,,,
5154_114959,7778019,11,Phoenix Park - Sandyford Business District,,3,,,
5154_114960,7778019,13,Grange Castle - Harristown,,3,,,
5154_114961,7778019,14,Dundrum Luas Stn - Ardlea Rd (Beaumont),,3,,,
5154_114962,7778019,15,Ballycullen Road - Clongriffin,,3,,,
5154_114963,7778019,16,Ballinteer - Dublin Airport,,3,,,
5154_114964,7778019,16D,Airport - Beaumont Village - Ballinteer not,,3,,,
5154_114965,7778019,19,Parnell Square West - Dublin Airport,,3,,,
5154_114966,7778019,23,Merrion Square - Charlestown SC,,3,,,
5154_114967,7778019,24,Merrion Square - Dublin Airport,,3,,,
5154_114968,7778019,27,Jobstown - Clare Hall,,3,,,
5154_114969,7778019,33,Balbriggan - Lower Abbey St,,3,,,
5154_114970,7778019,33D,Portrane - St Stephens Green,,3,,,
5154_114971,7778019,33E,Lwr Abbey St - Portrane - Skerries,,3,,,
5154_114972,7778019,37,Blanchardstown Shopping Centre - Wilton Terrace,,3,,,
5154_114973,7778019,38,Damastown - Burlington Road,,3,,,
5154_114974,7778019,39,Ongar - Burlington Rd,,3,,,
5154_114975,7778019,41,Swords Manor - Lower Abbey Street,,3,,,
5154_114976,7778019,41D,Swords Business Park - Lwr Abbey St,,3,,,
5154_114977,7778019,42,Sand's Hotel Portmarnock - Eden Quay,,3,,,
5154_114978,7778019,43,Talbot Street - Swords Business Park,,3,,,
5154_114979,7778019,44,Enniskerry - DCU,,3,,,
5154_114980,7778019,47,Poolbeg Street - Belarmine,,3,,,
5154_114981,7778019,52,Intel - Ringsend,,3,,,
5154_114982,7778019,53,Dublin Ferryport - Talbot St,,3,,,
5154_114983,7778019,56A,Tallaght - Ringsend Rd,,3,,,
5154_114984,7778019,60,Forbes Street - Tallaght,,3,,,
5154_114985,7778019,65,Poolbeg Street - Blessington/Ballymore,,3,,,
5154_114986,7778019,68,Newcastle / Greenogue Business Pk - Hawkins St,,3,,,
5154_114987,7778019,68A,Hawkins Street - Bulfin Road,,3,,,
