route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
5154_115043,349,5154_1,Shaw street,23711,0,5154_7778195_9001001,5154_1
5154_115043,350,5154_10,Shaw street,15582,0,5154_7778195_9001002,5154_1
5154_115043,350,5154_100,Shaw street,15549,0,5154_7778195_9001008,5154_1
5154_114997,349,5154_1000,Ashtown Stn,24925,0,5154_7778195_5120003,5154_26
5154_114974,351,5154_10000,Ongar,6269,0,5154_7778195_7039015,5154_220
5154_114974,349,5154_10001,Ongar,27547,0,5154_7778195_7039013,5154_220
5154_114974,350,5154_10002,Ongar,19455,0,5154_7778195_7039013,5154_220
5154_114974,352,5154_10003,Ongar,11515,0,5154_7778195_7039024,5154_221
5154_114974,351,5154_10004,Ongar,6030,0,5154_7778195_7039007,5154_220
5154_114974,349,5154_10005,Ongar,27285,0,5154_7778195_7039032,5154_220
5154_114974,352,5154_10006,Ongar,11452,0,5154_7778195_7039022,5154_221
5154_114974,350,5154_10007,Ongar,19193,0,5154_7778195_7039032,5154_220
5154_114974,351,5154_10008,Ongar,6278,0,5154_7778195_7039019,5154_220
5154_114974,352,5154_10009,Ongar,11509,0,5154_7778195_7039016,5154_220
5154_114997,350,5154_1001,Ashtown Stn,16871,0,5154_7778195_5120007,5154_25
5154_114974,349,5154_10010,Ongar,27340,0,5154_7778195_7039005,5154_221
5154_114974,350,5154_10011,Ongar,19248,0,5154_7778195_7039005,5154_221
5154_114974,351,5154_10012,Ongar,6037,0,5154_7778195_7039022,5154_220
5154_114974,350,5154_10013,Ongar,19208,0,5154_7778195_7039010,5154_220
5154_114974,349,5154_10014,Ongar,27300,0,5154_7778195_7039010,5154_220
5154_114974,352,5154_10015,Ongar,11531,0,5154_7778195_7039017,5154_221
5154_114974,350,5154_10016,Ongar,12990,0,5154_7778195_11811226,5154_220
5154_114974,349,5154_10017,Ongar,21082,0,5154_7778195_11811226,5154_220
5154_114974,351,5154_10018,Ongar,6166,0,5154_7778195_7039028,5154_220
5154_114974,349,5154_10019,Ongar,27265,0,5154_7778195_7039017,5154_220
5154_114997,350,5154_1002,Ashtown Stn,16798,0,5154_7778195_5120012,5154_24
5154_114974,352,5154_10020,Ongar,11446,0,5154_7778195_7039009,5154_221
5154_114974,350,5154_10021,Ongar,19173,0,5154_7778195_7039017,5154_220
5154_114974,349,5154_10022,Ongar,27415,0,5154_7778195_7039019,5154_220
5154_114974,350,5154_10023,Ongar,19323,0,5154_7778195_7039019,5154_220
5154_114974,351,5154_10024,Ongar,5954,0,5154_7778195_7039010,5154_220
5154_114974,349,5154_10025,Ongar,27481,0,5154_7778195_7039046,5154_220
5154_114974,350,5154_10026,Ongar,19389,0,5154_7778195_7039046,5154_220
5154_114974,352,5154_10027,Ongar,11485,0,5154_7778195_7039014,5154_221
5154_114974,351,5154_10028,Ongar,6161,0,5154_7778195_7039014,5154_220
5154_114974,349,5154_10029,Ongar,27421,0,5154_7778195_7039021,5154_220
5154_114997,352,5154_1003,Ashtown Stn,9740,0,5154_7778195_5120003,5154_26
5154_114974,352,5154_10030,Ongar,11287,0,5154_7778195_7039011,5154_221
5154_114974,350,5154_10031,Ongar,19329,0,5154_7778195_7039021,5154_220
5154_114974,351,5154_10032,Ongar,6193,0,5154_7778195_7039017,5154_220
5154_114974,350,5154_10033,Ongar,19148,0,5154_7778195_7039042,5154_220
5154_114974,349,5154_10034,Ongar,27240,0,5154_7778195_7039042,5154_220
5154_114974,352,5154_10035,Ongar,11540,0,5154_7778195_7039013,5154_221
5154_114974,351,5154_10036,Ongar,6262,0,5154_7778195_7039011,5154_220
5154_114974,349,5154_10037,Ongar,27536,0,5154_7778195_7039040,5154_220
5154_114974,352,5154_10038,Ongar,11517,0,5154_7778195_7039024,5154_221
5154_114974,350,5154_10039,Ongar,19444,0,5154_7778195_7039040,5154_220
5154_114997,349,5154_1004,Ashtown Stn,24890,0,5154_7778195_5120012,5154_24
5154_114974,351,5154_10040,Ongar,6271,0,5154_7778195_7039015,5154_220
5154_114974,349,5154_10041,Ongar,27549,0,5154_7778195_7039013,5154_220
5154_114974,350,5154_10042,Ongar,19457,0,5154_7778195_7039013,5154_220
5154_114974,352,5154_10043,Ongar,11454,0,5154_7778195_7039022,5154_221
5154_114974,349,5154_10044,Ongar,27272,0,5154_7778195_7039047,5154_220
5154_114974,351,5154_10045,Ongar,6032,0,5154_7778195_7039007,5154_221
5154_114974,350,5154_10046,Ongar,19180,0,5154_7778195_7039047,5154_220
5154_114974,352,5154_10047,Ongar,11511,0,5154_7778195_7039016,5154_220
5154_114974,351,5154_10048,Ongar,6280,0,5154_7778195_7039019,5154_220
5154_114974,349,5154_10049,Ongar,27342,0,5154_7778195_7039005,5154_221
5154_114997,349,5154_1005,Ashtown Stn,24963,0,5154_7778195_5120007,5154_25
5154_114974,350,5154_10050,Ongar,19250,0,5154_7778195_7039005,5154_221
5154_114974,352,5154_10051,Ongar,11533,0,5154_7778195_7039017,5154_220
5154_114974,351,5154_10052,Ongar,6168,0,5154_7778195_7039028,5154_220
5154_114974,350,5154_10053,Ongar,19210,0,5154_7778195_7039010,5154_221
5154_114974,349,5154_10054,Ongar,27302,0,5154_7778195_7039010,5154_221
5154_114974,352,5154_10055,Ongar,11448,0,5154_7778195_7039009,5154_220
5154_114974,349,5154_10056,Ongar,27483,0,5154_7778195_7039046,5154_220
5154_114974,351,5154_10057,Ongar,5956,0,5154_7778195_7039010,5154_221
5154_114974,350,5154_10058,Ongar,19391,0,5154_7778195_7039046,5154_220
5154_114974,352,5154_10059,Ongar,11542,0,5154_7778195_7039013,5154_220
5154_114997,351,5154_1006,Ashtown Stn,4131,0,5154_7778195_5120002,5154_24
5154_114974,350,5154_10060,Ongar,19150,0,5154_7778195_7039042,5154_220
5154_114974,349,5154_10061,Ongar,27242,0,5154_7778195_7039042,5154_220
5154_114974,351,5154_10062,Ongar,6163,0,5154_7778195_7039014,5154_221
